method,n_seeds,spearman_mean,spearman_ci95,precision_at_10_mean,precision_at_10_ci95,ndcg_at_10_mean,ndcg_at_10_ci95
composite,50,-0.04249384938493849,0.005323237697363129,0.002,0.00392,0.12075025648028602,0.0035368581213819504
equal_weighted,50,0.02143174317431743,0.006276433520640493,0.002,0.00392,0.12034554052735466,0.0033904498366392616
dependency_only,50,0.14616525214481402,0.00047849051422949474,0.132,0.013061332244453472,0.7643560517422385,0.00043571891333155766
pagerank_only,50,0.0,0.0,0.13,0.012831211945876352,0.7590692091275438,0.0004476890569682559
reliability_only,50,-0.1338181818181818,0.014388008098124305,0.01,0.008400000000000001,0.1019737384530651,0.0037960955274170824
revenue_weighted_only,50,0.9992621662166215,3.564009846761733e-05,0.9560000000000001,0.013898834483509755,0.9999324857709827,2.6604861186853788e-05
random,50,-0.02402712271227122,0.02698109809616072,0.07400000000000001,0.019244781110732332,0.16977417020194996,0.02054744726458614
composite_learned,50,0.9992621662166215,3.564009846761733e-05,0.9560000000000001,0.013898834483509755,0.9999324857709827,2.6604861186853788e-05
