spearman,precision_at_10,ndcg_at_10
0.9995679567956794,0.9,0.9997899733254859
0.9994959495949594,0.9,0.9999255940255515
0.9993399339933992,0.9,0.999643456054057
0.9994719471947193,1.0,1.0
0.9991959195919591,0.9,0.999591402099929
0.9994599459945993,0.9,0.9996815988975889
0.9995559555955594,1.0,1.0
0.9994839483948393,0.9,0.9992669175578863
0.9994719471947193,0.9,0.9996396919357643
0.9995679567956794,0.9,0.9999969008428048
0.9996039603960395,1.0,0.9999800848678189
0.9993279327932791,1.0,0.9999575687096725
0.9994719471947193,0.9,0.9996544282518744
0.9994599459945993,1.0,1.0
0.9995079507950793,1.0,0.9999401353214742
0.9996399639963995,0.9,0.9998616624792414
0.9996759675967596,1.0,0.9999955148569908
0.9995799579957995,0.9,0.9999844237194508
0.9994959495949594,0.9,0.9999304714103864
0.9996039603960395,1.0,0.9999353218372469
0.9991839183918391,1.0,0.999922560000732
0.9992919291929192,0.9,0.999559311487264
0.9994119411941192,1.0,0.9999225301314166
0.9995559555955594,1.0,0.9998939990784068
0.9995799579957995,0.9,0.9998271399745673
0.9995439543954395,1.0,0.999897263310196
0.9995199519951995,0.9,0.999925102324572
0.9993399339933992,0.9,0.9999408920200082
0.9993279327932791,1.0,0.9995198229729771
0.9991839183918391,1.0,0.9998858828817121
0.999159915991599,0.9,0.9992716070232432
0.999159915991599,1.0,0.9998105480979943
0.9991839183918391,1.0,1.0
0.999147914791479,0.9,0.9996389645515777
0.9992559255925593,1.0,0.9995900275796863
0.9992319231923191,0.9,0.999761157893422
0.9994719471947193,1.0,1.0
0.9994719471947193,0.9,0.9997899733254859
0.9992919291929192,0.9,0.9999255940255515
0.999159915991599,0.9,0.999643456054057
0.9991959195919591,0.9,0.999591402099929
0.9992919291929192,0.9,0.9996815988975889
0.9994119411941192,1.0,1.0
0.9993759375937593,0.9,0.9992669175578863
0.9993999399939993,0.9,0.9996396919357643
0.9991959195919591,0.9,0.9999969008428048
0.9994599459945993,1.0,1.0
0.9994119411941192,1.0,0.9999800848678189
0.999159915991599,1.0,0.9999575687096725
0.9991959195919591,0.9,0.9996544282518744
0.9995319531953195,1.0,0.9999401353214742
0.9994839483948393,0.9,0.9998616624792414
0.9993279327932791,1.0,0.9999955148569908
0.9996279627962795,0.9,0.9999844237194508
0.9994599459945993,0.9,0.9999408920200082
0.9995079507950793,1.0,0.9995198229729771
0.9995559555955594,1.0,0.9998858828817121
0.9991839183918391,1.0,1.0
0.9992919291929192,0.9,0.9992716070232432
0.9995319531953195,1.0,0.9998105480979943
0.9994959495949594,0.9,0.9996389645515777
0.9994359435943594,1.0,0.9995900275796863
0.9993999399939993,0.9,0.999761157893422
0.9995559555955594,1.0,1.0
0.9996399639963995,0.9,0.9997899733254859
0.9995799579957995,0.9,0.9999255940255515
0.999147914791479,0.9,0.999643456054057
0.9994119411941192,1.0,1.0
0.9994839483948393,0.9,0.999591402099929
0.9994959495949594,0.9,0.9996815988975889
0.9994479447944794,0.9,0.9992669175578863
0.9995559555955594,0.9,0.9996396919357643
0.9994839483948393,0.9,0.9999587291967116
0.9996759675967596,1.0,0.9999798526419704
0.9995439543954395,1.0,0.9999744482704362
0.9992559255925593,1.0,0.9999381493655614
0.9993759375937593,0.9,0.9996186801864304
0.9993279327932791,1.0,0.9999894347238868
0.9994359435943594,1.0,0.9999301374737014
0.9994479447944794,0.9,0.999845774214265
0.9995079507950793,0.9,0.9999682632227683
0.9994719471947193,0.9,0.99998325777777
0.9995799579957995,0.9,0.9996365608613466
0.9995199519951995,0.9,0.9994469116385345
0.9992319231923191,0.9,0.9997414420441106
0.9993999399939993,0.9,0.9996835361961286
0.9996279627962795,0.9,0.9997213657980039
0.9993999399939993,0.9,0.999585052029398
0.9995559555955594,0.9,0.9998634639241663
0.9995079507950793,0.9,0.9995379050638658
