spearman,precision_at_10,ndcg_at_10
0.9996279627962795,1.0,0.9999710045829369
0.9994959495949594,1.0,1.0
0.9994239423942393,1.0,1.0
0.9993279327932791,1.0,1.0
0.9993999399939993,1.0,1.0
0.9995079507950793,0.9,0.9999876643761815
0.9993159315931591,1.0,1.0
0.9994239423942393,1.0,0.999982202451302
0.9994239423942393,1.0,1.0
0.9996279627962795,1.0,0.9999389594786383
0.9995079507950793,1.0,0.9999595267686334
0.9993639363936392,1.0,0.9999315417004633
0.9995319531953195,1.0,0.999976694077691
0.9995319531953195,1.0,0.9999876919750286
0.9995679567956794,0.9,0.9999452680531383
0.9994359435943594,1.0,0.999974664284801
0.9994119411941192,1.0,1.0
0.9995079507950793,1.0,0.999950361276147
0.9994959495949594,1.0,1.0
0.9995079507950793,1.0,0.9999710045829369
0.9994479447944794,1.0,1.0
0.999171917191719,1.0,1.0
0.9995319531953195,1.0,1.0
0.9993279327932791,0.9,0.9999876643761815
0.9996039603960395,1.0,1.0
0.9993879387938793,1.0,0.999982202451302
0.9992799279927992,1.0,1.0
0.9994239423942393,1.0,1.0
0.9993639363936392,1.0,0.9999710045829369
0.9994479447944794,1.0,1.0
0.9993159315931591,1.0,1.0
0.9994239423942393,1.0,1.0
0.9993879387938793,0.9,0.9999876643761815
0.9992319231923191,1.0,1.0
0.9994479447944794,1.0,0.999982202451302
0.9993399339933992,1.0,1.0
0.9993279327932791,1.0,1.0
0.9995319531953195,1.0,0.9999710045829369
0.999171917191719,1.0,1.0
0.9993159315931591,1.0,1.0
0.9993279327932791,1.0,1.0
0.9995919591959195,0.9,0.9999876643761815
0.9992679267926792,1.0,1.0
0.9993759375937593,1.0,0.999982202451302
0.9994239423942393,1.0,1.0
0.9993999399939993,1.0,1.0
0.9995319531953195,1.0,0.9999710045829369
0.9995319531953195,1.0,1.0
0.9994239423942393,1.0,1.0
0.9993279327932791,1.0,1.0
0.9995919591959195,0.9,0.9999876643761815
0.9996639663966396,1.0,1.0
0.9992919291929192,1.0,0.999982202451302
0.9995799579957995,1.0,1.0
0.9995079507950793,0.9,0.9995999370871067
0.9995679567956794,0.9,0.9994262349962755
0.9993279327932791,0.9,0.9993555135559659
0.9993879387938793,0.9,0.9999290365059232
0.9995919591959195,0.9,0.9995054949056024
0.9995919591959195,0.9,0.9999457639047742
0.9993879387938793,0.9,0.9999648073875874
0.9993399339933992,0.9,0.9997320866856027
0.9995319531953195,0.9,0.9999925838521081
0.9993159315931591,1.0,1.0
0.9994359435943594,1.0,0.9999710045829369
0.9996039603960395,1.0,1.0
0.9992319231923191,1.0,1.0
0.9992679267926792,1.0,1.0
0.9996639663966396,1.0,1.0
0.9993879387938793,0.9,0.9999876643761815
0.9993399339933992,1.0,0.999982202451302
0.9993519351935193,1.0,1.0
0.9994239423942393,1.0,0.9999389594786383
0.9994119411941192,1.0,1.0
0.9993879387938793,1.0,0.9999595267686334
0.9994479447944794,1.0,0.9999315417004633
0.9993759375937593,1.0,0.999976694077691
0.9992919291929192,1.0,0.9999876919750286
0.9993399339933992,0.9,0.9999452680531383
0.9993399339933992,1.0,0.999974664284801
0.9993399339933992,1.0,0.999950361276147
0.9994239423942393,1.0,1.0
0.9995079507950793,1.0,0.9999710045829369
0.9992799279927992,1.0,1.0
0.9993399339933992,1.0,1.0
0.9994239423942393,1.0,1.0
0.9995799579957995,1.0,1.0
0.9995319531953195,0.9,0.9999876643761815
0.9993519351935193,1.0,1.0
0.9993399339933992,1.0,0.999982202451302
